"id" "technique" "technique_name" "algorithm" "blackbox" "evaluatedActions" "elapsedSeconds" "covered_lines" "total_lines" "covered_branches" "total_branches" "coverage_branch" "faults"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "170" "394" "416" "120" "136" "882" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "204" "408" "416" "126" "137" "919" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "189" "406" "416" "126" "138" "913" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "183" "408" "416" "120" "133" "902" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "206" "396" "416" "118" "135" "874" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "205" "398" "416" "121" "135" "896" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "187" "396" "416" "117" "132" "886" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "165" "404" "416" "124" "138" "898" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "204" "406" "416" "121" "134" "902" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "209" "392" "416" "118" "135" "874" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "196" "388" "416" "113" "130" "869" "6"
"ncs-js" "evomaster" "evo-wb-ft" "MIO" "false" "100000" "215" "394" "416" "119" "135" "881" "6"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"ncs-js" "RESTTESTGEN" "resttestgen-tb" "Default" "true" "0" "SPECIFIED" "63" "416" "6" "6" "1000" "0"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100006" "36" "399" "619" "47" "84" "559" "13"
"scs-js" "evomaster" "evo-bb-ft" "Random" "true" "100004" "38" "397" "619" "48" "85" "564" "13"
